Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WM6,NOX,01/01/2017 00:00,64.70000,ppb,R
WM6,NOX,01/01/2017 00:15,71.60000,ppb,R
WM6,NOX,01/01/2017 00:30,68.70000,ppb,R
WM6,NOX,01/01/2017 00:45,58.50000,ppb,R
WM6,NOX,01/01/2017 01:00,74.30000,ppb,R
WM6,NOX,01/01/2017 01:15,73.60000,ppb,R
WM6,NOX,01/01/2017 01:30,138.50000,ppb,R
WM6,NOX,01/01/2017 01:45,92.10000,ppb,R
WM6,NOX,01/01/2017 02:00,81.60000,ppb,R
WM6,NOX,01/01/2017 02:15,83.20000,ppb,R
WM6,NOX,01/01/2017 02:30,83.10000,ppb,R
WM6,NOX,01/01/2017 02:45,91.90000,ppb,R
WM6,NOX,01/01/2017 03:00,91.50000,ppb,R
WM6,NOX,01/01/2017 03:15,92.40000,ppb,R
WM6,NOX,01/01/2017 03:30,94.90000,ppb,R
WM6,NOX,01/01/2017 03:45,98.40000,ppb,R
WM6,NOX,01/01/2017 04:00,102.90000,ppb,R
WM6,NOX,01/01/2017 04:15,92.50000,ppb,R
WM6,NOX,01/01/2017 04:30,41.80000,ppb,R
WM6,NOX,01/01/2017 04:45,38.30000,ppb,R
WM6,NOX,01/01/2017 05:00,73.90000,ppb,R
WM6,NOX,01/01/2017 05:15,73.10000,ppb,R
WM6,NOX,01/01/2017 05:30,46.30000,ppb,R
WM6,NOX,01/01/2017 05:45,52.90000,ppb,R
WM6,NOX,01/01/2017 06:00,62.70000,ppb,R
WM6,NOX,01/01/2017 06:15,55.90000,ppb,R
WM6,NOX,01/01/2017 06:30,64.80000,ppb,R
WM6,NOX,01/01/2017 06:45,53.30000,ppb,R
WM6,NOX,01/01/2017 07:00,77.20000,ppb,R
WM6,NOX,01/01/2017 07:15,38.50000,ppb,R
WM6,NOX,01/01/2017 07:30,51.70000,ppb,R
WM6,NOX,01/01/2017 07:45,55.00000,ppb,R
WM6,NOX,01/01/2017 08:00,80.60000,ppb,R
WM6,NOX,01/01/2017 08:15,59.80000,ppb,R
WM6,NOX,01/01/2017 08:30,84.70000,ppb,R
WM6,NOX,01/01/2017 08:45,45.70000,ppb,R
WM6,NOX,01/01/2017 09:00,86.00000,ppb,R
WM6,NOX,01/01/2017 09:15,73.40000,ppb,R
WM6,NOX,01/01/2017 09:30,72.30000,ppb,R
WM6,NOX,01/01/2017 09:45,119.80000,ppb,R
WM6,NOX,01/01/2017 10:00,130.70000,ppb,R
WM6,NOX,01/01/2017 10:15,127.60000,ppb,R
WM6,NOX,01/01/2017 10:30,151.00000,ppb,R
WM6,NOX,01/01/2017 10:45,97.10000,ppb,R
WM6,NOX,01/01/2017 11:00,127.50000,ppb,R
WM6,NOX,01/01/2017 11:15,144.70000,ppb,R
WM6,NOX,01/01/2017 11:30,218.00000,ppb,R
WM6,NOX,01/01/2017 11:45,183.20000,ppb,R
WM6,NOX,01/01/2017 12:00,126.30000,ppb,R
WM6,NOX,01/01/2017 12:15,311.60001,ppb,R
WM6,NOX,01/01/2017 12:30,188.39999,ppb,R
WM6,NOX,01/01/2017 12:45,214.20000,ppb,R
WM6,NOX,01/01/2017 13:00,172.60001,ppb,R
WM6,NOX,01/01/2017 13:15,247.10001,ppb,R
WM6,NOX,01/01/2017 13:30,242.10001,ppb,R
WM6,NOX,01/01/2017 13:45,296.89999,ppb,R
WM6,NOX,01/01/2017 14:00,269.60001,ppb,R
WM6,NOX,01/01/2017 14:15,62.70000,ppb,R
WM6,NOX,01/01/2017 14:30,76.00000,ppb,R
WM6,NOX,01/01/2017 14:45,35.10000,ppb,R
WM6,NOX,01/01/2017 15:00,32.20000,ppb,R
WM6,NOX,01/01/2017 15:15,38.70000,ppb,R
WM6,NOX,01/01/2017 15:30,38.80000,ppb,R
WM6,NOX,01/01/2017 15:45,45.10000,ppb,R
WM6,NOX,01/01/2017 16:00,58.50000,ppb,R
WM6,NOX,01/01/2017 16:15,49.70000,ppb,R
WM6,NOX,01/01/2017 16:30,44.80000,ppb,R
WM6,NOX,01/01/2017 16:45,32.50000,ppb,R
WM6,NOX,01/01/2017 17:00,42.00000,ppb,R
WM6,NOX,01/01/2017 17:15,45.00000,ppb,R
WM6,NOX,01/01/2017 17:30,35.30000,ppb,R
WM6,NOX,01/01/2017 17:45,51.60000,ppb,R
WM6,NOX,01/01/2017 18:00,48.00000,ppb,R
WM6,NOX,01/01/2017 18:15,78.60000,ppb,R
WM6,NOX,01/01/2017 18:30,39.40000,ppb,R
WM6,NOX,01/01/2017 18:45,39.60000,ppb,R
WM6,NOX,01/01/2017 19:00,37.90000,ppb,R
WM6,NOX,01/01/2017 19:15,41.10000,ppb,R
WM6,NOX,01/01/2017 19:30,69.30000,ppb,R
WM6,NOX,01/01/2017 19:45,29.80000,ppb,R
WM6,NOX,01/01/2017 20:00,34.70000,ppb,R
WM6,NOX,01/01/2017 20:15,31.30000,ppb,R
WM6,NOX,01/01/2017 20:30,34.80000,ppb,R
WM6,NOX,01/01/2017 20:45,49.80000,ppb,R
WM6,NOX,01/01/2017 21:00,41.60000,ppb,R
WM6,NOX,01/01/2017 21:15,46.90000,ppb,R
WM6,NOX,01/01/2017 21:30,62.90000,ppb,R
WM6,NOX,01/01/2017 21:45,29.00000,ppb,R
WM6,NOX,01/01/2017 22:00,68.90000,ppb,R
WM6,NOX,01/01/2017 22:15,43.30000,ppb,R
WM6,NOX,01/01/2017 22:30,42.70000,ppb,R
WM6,NOX,01/01/2017 22:45,44.90000,ppb,R
WM6,NOX,01/01/2017 23:00,34.90000,ppb,R
WM6,NOX,01/01/2017 23:15,74.20000,ppb,R
WM6,NOX,01/01/2017 23:30,34.50000,ppb,R
WM6,NOX,01/01/2017 23:45,27.60000,ppb,R
WM6,NOX,02/01/2017 00:00,20.20000,ppb,R
WM6,NOX,02/01/2017 00:15,17.80000,ppb,R
WM6,NOX,02/01/2017 00:30,22.90000,ppb,R
WM6,NOX,02/01/2017 00:45,17.20000,ppb,R
WM6,NOX,02/01/2017 01:00,14.70000,ppb,R
WM6,NOX,02/01/2017 01:15,13.20000,ppb,R
WM6,NOX,02/01/2017 01:30,23.30000,ppb,R
WM6,NOX,02/01/2017 01:45,14.90000,ppb,R
WM6,NOX,02/01/2017 02:00,14.80000,ppb,R
WM6,NOX,02/01/2017 02:15,10.70000,ppb,R
WM6,NOX,02/01/2017 02:30,24.80000,ppb,R
WM6,NOX,02/01/2017 02:45,11.40000,ppb,R
WM6,NOX,02/01/2017 03:00,15.10000,ppb,R
WM6,NOX,02/01/2017 03:15,8.70000,ppb,R
WM6,NOX,02/01/2017 03:30,28.00000,ppb,R
WM6,NOX,02/01/2017 03:45,9.60000,ppb,R
WM6,NOX,02/01/2017 04:00,22.30000,ppb,R
WM6,NOX,02/01/2017 04:15,17.00000,ppb,R
WM6,NOX,02/01/2017 04:30,21.20000,ppb,R
WM6,NOX,02/01/2017 04:45,12.10000,ppb,R
WM6,NOX,02/01/2017 05:00,14.20000,ppb,R
WM6,NOX,02/01/2017 05:15,12.00000,ppb,R
WM6,NOX,02/01/2017 05:30,14.80000,ppb,R
WM6,NOX,02/01/2017 05:45,19.50000,ppb,R
WM6,NOX,02/01/2017 06:00,20.10000,ppb,R
WM6,NOX,02/01/2017 06:15,47.60000,ppb,R
WM6,NOX,02/01/2017 06:30,29.90000,ppb,R
WM6,NOX,02/01/2017 06:45,30.20000,ppb,R
WM6,NOX,02/01/2017 07:00,50.30000,ppb,R
WM6,NOX,02/01/2017 07:15,37.40000,ppb,R
WM6,NOX,02/01/2017 07:30,37.00000,ppb,R
WM6,NOX,02/01/2017 07:45,47.50000,ppb,R
WM6,NOX,02/01/2017 08:00,46.50000,ppb,R
WM6,NOX,02/01/2017 08:15,28.50000,ppb,R
WM6,NOX,02/01/2017 08:30,36.10000,ppb,R
WM6,NOX,02/01/2017 08:45,37.40000,ppb,R
WM6,NOX,02/01/2017 09:00,38.70000,ppb,R
WM6,NOX,02/01/2017 09:15,36.80000,ppb,R
WM6,NOX,02/01/2017 09:30,46.40000,ppb,R
WM6,NOX,02/01/2017 09:45,58.80000,ppb,R
WM6,NOX,02/01/2017 10:00,74.50000,ppb,R
WM6,NOX,02/01/2017 10:15,58.00000,ppb,R
WM6,NOX,02/01/2017 10:30,49.80000,ppb,R
WM6,NOX,02/01/2017 10:45,49.70000,ppb,R
WM6,NOX,02/01/2017 11:00,44.70000,ppb,R
WM6,NOX,02/01/2017 11:15,45.60000,ppb,R
WM6,NOX,02/01/2017 11:30,82.40000,ppb,R
WM6,NOX,02/01/2017 11:45,91.40000,ppb,R
WM6,NOX,02/01/2017 12:00,35.00000,ppb,R
WM6,NOX,02/01/2017 12:15,37.40000,ppb,R
WM6,NOX,02/01/2017 12:30,52.80000,ppb,R
WM6,NOX,02/01/2017 12:45,37.70000,ppb,R
WM6,NOX,02/01/2017 13:00,60.20000,ppb,R
WM6,NOX,02/01/2017 13:15,66.10000,ppb,R
WM6,NOX,02/01/2017 13:30,104.20000,ppb,R
WM6,NOX,02/01/2017 13:45,103.70000,ppb,R
WM6,NOX,02/01/2017 14:00,65.90000,ppb,R
WM6,NOX,02/01/2017 14:15,96.90000,ppb,R
WM6,NOX,02/01/2017 14:30,141.20000,ppb,R
WM6,NOX,02/01/2017 14:45,139.80000,ppb,R
WM6,NOX,02/01/2017 15:00,232.00000,ppb,R
WM6,NOX,02/01/2017 15:15,88.70000,ppb,R
WM6,NOX,02/01/2017 15:30,72.50000,ppb,R
WM6,NOX,02/01/2017 15:45,87.00000,ppb,R
WM6,NOX,02/01/2017 16:00,88.60000,ppb,R
WM6,NOX,02/01/2017 16:15,108.90000,ppb,R
WM6,NOX,02/01/2017 16:30,298.70001,ppb,R
WM6,NOX,02/01/2017 16:45,289.10001,ppb,R
WM6,NOX,02/01/2017 17:00,155.00000,ppb,R
WM6,NOX,02/01/2017 17:15,203.10001,ppb,R
WM6,NOX,02/01/2017 17:30,233.10001,ppb,R
WM6,NOX,02/01/2017 17:45,271.20001,ppb,R
WM6,NOX,02/01/2017 18:00,221.89999,ppb,R
WM6,NOX,02/01/2017 18:15,301.89999,ppb,R
WM6,NOX,02/01/2017 18:30,264.89999,ppb,R
WM6,NOX,02/01/2017 18:45,255.80000,ppb,R
WM6,NOX,02/01/2017 19:00,227.00000,ppb,R
WM6,NOX,02/01/2017 19:15,239.00000,ppb,R
WM6,NOX,02/01/2017 19:30,221.20000,ppb,R
WM6,NOX,02/01/2017 19:45,311.70001,ppb,R
WM6,NOX,02/01/2017 20:00,202.80000,ppb,R
